Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Detroit Pistons: 1995,-7.29,-7.08,105.1,112.9,-7.8,34.14634146,26.82926829,7.3,7.2,11.5,0,6.9,17.9,6.8
Los Angeles Clippers: 1995,-9.16,-8.43,101.5,111.1,-9.6,20.73170732,21.95121951,2.8,3.9,0,15.4,2.7,2.1,2.6
Minnesota Timberwolves: 1995,-9,-8.22,102.6,112.4,-9.8,25.6097561,21.95121951,3.4,4.4,3.8,3.9,2.4,6.4,2.6
Chicago Bulls: 1996,12.24,11.8,115.2,101.8,13.4,87.80487805,85.36585366,100,100,100,100,100,99.9,100
Seattle SuperSonics: 1996,7.79,7.4,110.3,102.1,8.2,78.04878049,74.3902439,97.2,96.7,75,96.5,96.5,98.2,95.5
Utah Jazz: 1996,6.59,6.25,113.3,106.1,7.2,67.07317073,71.95121951,92.5,91.1,96.4,75,93.3,83.7,92.3
San Antonio Spurs: 1996,6.3,5.98,110.2,103.5,6.7,71.95121951,70.73170732,90.6,90.3,71.4,92.9,91.1,92.5,90.5
Orlando Magic: 1996,5.56,5.4,112.9,106.9,6,73.17073171,68.29268293,87.8,87.3,92.8,60.8,87.9,94,86.2
Los Angeles Lakers: 1996,4.45,4.21,111.4,106.6,4.8,64.63414634,64.63414634,82.2,81.6,89.2,67.9,82.4,79.2,79.9
Indiana Pacers: 1996,3.24,3.11,110.8,107.2,3.6,63.41463415,60.97560976,73.2,73.6,82.1,57.2,74.5,77.4,72.2
Cleveland Cavaliers: 1996,2.59,2.49,109.9,106.7,3.2,57.31707317,59.75609756,69,68.5,67.8,64.3,71.7,62.9,70.1
Detroit Pistons: 1996,2.5,2.45,107.9,105.1,2.8,56.09756098,59.75609756,68.4,67.9,50,78.6,69.1,61.5,70.1
Portland Trail Blazers: 1996,2.35,2.21,106,103.5,2.5,53.65853659,58.53658537,67.3,65.5,28.5,92.9,66.7,55,66.5
New York Knicks: 1996,2.32,2.24,106,103.5,2.5,57.31707317,58.53658537,66.9,65.8,28.5,92.9,66.7,62.9,66.5
Houston Rockets: 1996,1.74,1.63,109.3,107.4,1.9,58.53658537,56.09756098,62.3,61.1,60.7,53.6,62.3,66.1,60.6
Miami Heat: 1996,1.43,1.46,105.3,103.8,1.5,51.2195122,54.87804878,58.8,59.6,21.4,82.2,58.6,48.5,57.6
Atlanta Hawks: 1996,1.22,1.29,109.4,108,1.4,56.09756098,54.87804878,57.2,58,64.2,46.5,57.7,61.5,57.6
Washington Bullets: 1996,1.06,0.99,108.7,107.6,1.1,47.56097561,53.65853659,56,55.7,57.1,50,55.6,39.7,54.7
Phoenix Suns: 1996,0.33,0.28,110.3,110,0.3,50,51.2195122,50.5,50.6,75,21.5,49.6,44,49.1
Charlotte Hornets: 1996,-0.57,-0.48,111.2,111.8,-0.6,50,47.56097561,43.1,44,85.7,7.2,42.9,44,41
Golden State Warriors: 1996,-1.45,-1.42,108.4,109.9,-1.5,43.90243902,45.12195122,36.4,35.8,53.5,28.6,36.3,33.3,35.4
Denver Nuggets: 1996,-2.71,-2.62,105.2,108.1,-2.9,42.68292683,40.24390244,28.5,28,17.8,42.9,28.1,31.7,26.3
Sacramento Kings: 1996,-2.71,-2.62,106.2,109.1,-2.9,47.56097561,40.24390244,28.5,28,39.2,35.8,28.1,39.7,26.3
Boston Celtics: 1996,-3.4,-3.37,106.4,109.9,-3.5,40.24390244,39.02439024,24.2,23.6,42.8,28.6,24.4,27.2,24.2
Los Angeles Clippers: 1996,-3.6,-3.46,106.5,110.3,-3.8,35.36585366,37.80487805,22.9,23,46.4,17.9,22.3,19.9,21.6
New Jersey Nets: 1996,-4.23,-4.14,101.9,106.5,-4.6,36.58536585,35.36585366,19.7,19.3,3.5,71.5,18.6,21.9,18
Dallas Mavericks: 1996,-4.9,-4.71,106.1,111.2,-5.1,31.70731707,34.14634146,16.4,17.3,35.7,14.3,16.8,14.3,16.4
Minnesota Timberwolves: 1996,-5.35,-5.14,104.1,109.8,-5.7,31.70731707,31.70731707,14.8,14.7,14.2,32.2,13.9,14.3,12.9
Milwaukee Bucks: 1996,-5.3,-4.92,105.6,111.5,-5.9,30.48780488,31.70731707,15,16,25,10.8,13.1,12.9,12.9
Toronto Raptors: 1996,-7.51,-7.2,103.8,111.8,-8,25.6097561,25.6097561,6.3,6.8,10.7,7.2,5.9,6.4,5.1
Philadelphia 76ers: 1996,-10,-9.45,102.2,113,-10.8,21.95121951,19.51219512,1,1.6,7.1,0,0.7,3.4,0.8
Vancouver Grizzlies: 1996,-9.98,-9.55,97.6,108.5,-10.9,18.29268293,18.29268293,1.1,1.3,0,39.3,0.6,1,0.4
Chicago Bulls: 1997,10.8,10.7,114.4,102.4,12,84.14634146,82.92682927,99.8,99.8,100,89.3,99.9,99.8,99.9
Utah Jazz: 1997,8.79,7.97,113.6,104,9.6,78.04878049,78.04878049,98.3,97.8,96.4,71.5,98.9,98.2,98.6
Seattle SuperSonics: 1997,7.68,6.91,111.2,102.7,8.5,69.51219512,75.6097561,96.4,94.8,92.8,82.2,97,88.4,97.2
Atlanta Hawks: 1997,5.44,5.52,108.5,102.3,6.2,68.29268293,69.51219512,87.1,88.2,75,92.9,88.7,86.4,88.7
Miami Heat: 1997,5.49,5.56,106.8,100.6,6.2,74.3902439,69.51219512,87.5,88.5,60.7,100,88.7,95.2,88.7
Detroit Pistons: 1997,5.24,5.45,110.6,104.4,6.2,65.85365854,69.51219512,86.1,87.6,85.7,64.3,88.7,81.2,88.7
Houston Rockets: 1997,4.48,3.85,108.8,104,4.8,69.51219512,65.85365854,82.4,79.5,78.5,71.5,82.4,88.4,82.8
Los Angeles Lakers: 1997,4.27,3.66,108.3,103.7,4.6,68.29268293,64.63414634,81.1,78,71.4,75,81.4,86.4,79.9
Portland Trail Blazers: 1997,4.17,3.56,107.9,103.3,4.6,59.75609756,64.63414634,80,76.5,67.8,78.6,81.4,68.8,79.9
New York Knicks: 1997,3.12,3.31,104.4,101,3.4,69.51219512,60.97560976,72.7,75.1,14.2,96.5,72.8,88.4,72.2
Cleveland Cavaliers: 1997,1.84,2.32,104.6,102.4,2.2,51.2195122,57.31707317,62.8,66.5,21.4,89.3,64,48.5,63.5
Charlotte Hornets: 1997,1.87,2.13,110.9,108.9,2,65.85365854,56.09756098,63.1,65,89.2,25,62.8,81.2,60.6
Washington Bullets: 1997,1.62,1.77,106.6,104.9,1.7,53.65853659,56.09756098,61.1,63,57.1,57.2,60.3,55,60.6
Indiana Pacers: 1997,0.98,1.49,105.8,104.7,1.1,47.56097561,53.65853659,55.3,59.9,50,60.8,55.6,39.7,54.7
Phoenix Suns: 1997,0.66,0.21,109.3,108.6,0.7,48.7804878,52.43902439,52.5,50.2,82.1,32.2,52.2,41.8,51.9
Orlando Magic: 1997,-0.35,-0.07,105.6,106,-0.4,54.87804878,48.7804878,44.8,47.6,46.4,53.6,44.3,58.8,43.6
Minnesota Timberwolves: 1997,-1.48,-1.82,105.5,107.1,-1.6,48.7804878,45.12195122,36,33.3,42.8,50,35.5,41.8,35.4
Milwaukee Bucks: 1997,-1.89,-1.38,106.2,108.3,-2.1,40.24390244,42.68292683,32.8,36.4,53.5,35.8,32.2,27.2,31.1
Los Angeles Clippers: 1997,-2.35,-2.66,105.1,107.6,-2.5,43.90243902,41.46341463,30.9,27.6,39.2,46.5,30.6,33.3,29.2
Toronto Raptors: 1997,-3.12,-2.56,104.6,108,-3.4,36.58536585,39.02439024,25.9,28.4,21.4,42.9,24.8,21.9,24.2
Sacramento Kings: 1997,-3.38,-3.64,105,108.7,-3.7,41.46341463,37.80487805,24.4,22,35.7,28.6,23.1,29.8,21.6
New Jersey Nets: 1997,-4.56,-3.89,104.7,109.7,-5,31.70731707,34.14634146,18.1,20.7,32.1,21.5,17.2,14.3,16.4
Golden State Warriors: 1997,-4.71,-4.9,107.2,112.2,-5,36.58536585,34.14634146,17.4,16.2,64.2,3.6,17.2,21.9,16.4
Denver Nuggets: 1997,-6.28,-6.4,104.5,111.2,-6.7,25.6097561,29.26829268,11,9.6,17.8,17.9,10.7,6.4,9.8
Philadelphia 76ers: 1997,-6.54,-5.89,104.6,111.4,-6.8,26.82926829,29.26829268,10.1,11.7,21.4,14.3,10,8,9.8
Dallas Mavericks: 1997,-6.35,-6.47,101.1,108.2,-7.1,29.26829268,28.04878049,10.5,9.5,3.5,39.3,8.9,10.6,8
Boston Celtics: 1997,-7.33,-6.62,103.9,111.4,-7.5,18.29268293,26.82926829,7.1,8.7,10.7,14.3,7.7,1,6.8
San Antonio Spurs: 1997,-7.88,-7.93,103.3,112.3,-9,24.3902439,23.17073171,5.5,5,7.1,0,4.5,5.3,3.7
Vancouver Grizzlies: 1997,-10.23,-10.17,100.3,111.8,-11.5,17.07317073,18.29268293,0.8,0.8,0,7.2,0.3,0.8,0.4
Los Angeles Lakers: 1998,7.74,6.88,111.9,103.7,8.2,74.3902439,74.3902439,96.7,94.7,96.4,64.3,96.5,95.2,95.5
Seattle SuperSonics: 1998,7.17,6.33,111.6,103.6,8,74.3902439,74.3902439,94.5,91.7,92.8,67.9,95.8,95.2,95.5
Chicago Bulls: 1998,7.11,7.24,107.7,99.8,7.9,75.6097561,74.3902439,94.2,96,71.4,92.9,95.5,96.2,95.5
Utah Jazz: 1998,6.54,5.73,112.7,105.4,7.3,75.6097561,71.95121951,92.3,89.1,100,42.9,93.5,96.2,92.3
Indiana Pacers: 1998,6.09,6.25,108.4,101.5,6.9,70.73170732,71.95121951,89.6,91.1,89.2,85.8,92,91,92.3
Phoenix Suns: 1998,5.18,4.44,107.4,101.8,5.6,68.29268293,68.29268293,85.8,83,60.7,82.2,85.8,86.4,86.2
Miami Heat: 1998,4.93,5.09,107.6,102,5.6,67.07317073,68.29268293,84.7,86.1,67.8,78.6,85.8,83.7,86.2
San Antonio Spurs: 1998,3.99,3.3,103.8,99.4,4.4,68.29268293,64.63414634,78.8,75,42.8,96.5,79.3,86.4,79.9
Atlanta Hawks: 1998,3.51,3.85,108.2,104.3,3.9,60.97560976,62.19512195,75.9,79.5,82.1,57.2,76.8,71.3,75.5
Cleveland Cavaliers: 1998,2.73,3.06,102.1,99.1,3,57.31707317,59.75609756,70.7,73.3,17.8,100,70.9,62.9,70.1
New York Knicks: 1998,2.46,2.74,103,100.3,2.7,52.43902439,59.75609756,68.1,70.9,32.1,89.3,68.5,52.7,70.1
Charlotte Hornets: 1998,2,2.45,107.5,105.3,2.2,62.19512195,57.31707317,63.8,67.9,64.2,50,64,75.5,63.5
Detroit Pistons: 1998,1.57,1.95,105.3,103.5,1.8,45.12195122,56.09756098,60.4,64.2,57.1,71.5,61.7,35.9,60.6
New Jersey Nets: 1998,1.57,1.88,108.3,106.6,1.7,52.43902439,56.09756098,60.4,63.9,85.7,28.6,60.3,52.7,60.6
Portland Trail Blazers: 1998,1.4,0.83,104,102.4,1.6,56.09756098,54.87804878,58.4,54.8,46.4,75,59.4,61.5,57.6
Washington Wizards: 1998,0.59,1.11,105.2,104.5,0.7,51.2195122,52.43902439,51.9,56.3,53.5,53.6,52.2,48.5,51.9
Minnesota Timberwolves: 1998,0.71,0.17,107.8,107.1,0.7,54.87804878,52.43902439,52.6,49.9,78.5,21.5,52.2,58.8,51.9
Houston Rockets: 1998,-0.76,-1.23,107.7,108.6,-0.9,50,47.56097561,42.2,37.5,71.4,14.3,40.8,44,41
Orlando Magic: 1998,-1.07,-0.53,102.6,103.8,-1.2,50,46.34146341,39.4,43.4,25,60.8,37.9,44,38
Milwaukee Bucks: 1998,-1.91,-1.33,103.5,105.6,-2.1,43.90243902,42.68292683,32.7,36.8,39.2,35.8,32.2,33.3,31.1
Philadelphia 76ers: 1998,-2.39,-1.89,102.8,105.4,-2.6,37.80487805,41.46341463,30.7,32.3,28.5,42.9,30,23.5,29.2
Boston Celtics: 1998,-2.62,-1.96,102.5,105.3,-2.8,43.90243902,40.24390244,29,31.9,21.4,50,28.6,33.3,26.3
Sacramento Kings: 1998,-5.59,-5.83,100.8,106.9,-6.1,32.92682927,30.48780488,13.9,12.1,10.7,25,12.4,16.3,11.7
Dallas Mavericks: 1998,-6.11,-6.33,100.5,107.2,-6.7,24.3902439,29.26829268,11.7,9.8,7.1,17.9,10.7,5.3,9.8
Los Angeles Clippers: 1998,-7.37,-7.53,103.3,111.2,-7.9,20.73170732,25.6097561,6.8,5.7,35.7,7.2,6.2,2.1,5.1
Vancouver Grizzlies: 1998,-7.3,-7.47,104.1,112,-7.9,23.17073171,26.82926829,7.2,5.8,50,3.6,6.2,4.1,6.8
Toronto Raptors: 1998,-9.27,-8.33,101.2,111,-9.8,19.51219512,20.73170732,2.5,4.2,14.2,10.8,2.4,1.9,1.7
Golden State Warriors: 1998,-9.12,-9.2,95.8,105.7,-9.9,23.17073171,20.73170732,2.9,2,0,32.2,2,4.1,1.7
Denver Nuggets: 1998,-11.78,-11.74,99,112.1,-13.1,13.41463415,14.63414634,0.1,0.1,3.5,0,0.1,0.1,0.1
San Antonio Spurs: 1999,8.06,7.12,104,95,9,74,78,97.6,95.5,64.2,100,98.1,95,98.5
Utah Jazz: 1999,6.52,5.54,105.8,98.4,7.4,74,74,92,88.3,89.2,78.6,94,95,95.4
Portland Trail Blazers: 1999,6.36,5.67,104.8,97.7,7.1,70,72,91.1,88.7,75,82.2,92.6,90.9,94.7
Miami Heat: 1999,4.96,5.11,104.7,98.9,5.8,66,70,84.9,86.3,71.4,75,86.7,83.3,90.4
Indiana Pacers: 1999,3.74,3.86,108.7,104.4,4.3,66,64,77.1,79.7,100,17.9,78.9,83.3,79.6
Detroit Pistons: 1999,3.42,3.97,104.2,100.3,3.9,58,64,74.9,80,67.8,71.5,76.8,66,79.6
Atlanta Hawks: 1999,2.9,2.82,100.5,97.1,3.4,62,62,71.1,71.8,35.7,96.5,72.8,75,75.1
Los Angeles Lakers: 1999,3.02,2.68,107.6,104.3,3.3,62,60,72,70.5,96.4,21.5,72.2,75,72
Orlando Magic: 1999,2.6,3.11,100.3,97.4,2.9,66,60,69.1,73.6,28.5,92.9,70.1,83.3,72
Houston Rockets: 1999,2.32,1.39,105.4,102.9,2.5,62,58,66.9,59,85.7,50,66.7,75,66
Phoenix Suns: 1999,2.26,2.15,105.8,103.3,2.5,54,58,66.1,65.2,89.2,35.8,66.7,58.2,66
Philadelphia 76ers: 1999,2.06,2.56,99.9,97.6,2.3,56,58,64.2,69.1,21.4,85.8,64.6,61.2,66
Milwaukee Bucks: 1999,1.66,1.66,104.9,103,1.9,56,56,61.5,61.4,78.5,46.5,62.3,61.2,60.5
New York Knicks: 1999,1.02,1.45,98.6,97.5,1.1,54,54,55.7,59.4,10.7,89.3,55.6,58.2,57.4
Minnesota Timberwolves: 1999,0.38,-0.17,101.9,101.5,0.4,50,52,50.7,46.9,42.8,64.3,50.7,44,51.8
Charlotte Hornets: 1999,-0.1,0.63,102.3,102.4,-0.1,52,50,47.7,53.6,50,57.2,47.5,52.6,47.3
Sacramento Kings: 1999,-0.42,-0.89,102.7,103.1,-0.4,54,48,44.3,40.4,57.1,39.3,44.3,58.2,43.2
Seattle SuperSonics: 1999,-1.08,-1.43,105,106.2,-1.2,50,46,39.3,35.7,82.1,10.8,37.9,44,37.9
Toronto Raptors: 1999,-1.64,-1.32,102,103.9,-1.9,46,44,34.5,36.9,46.4,25,33.4,37.6,35.1
Boston Celtics: 1999,-1.86,-1.75,100.4,102.4,-2,38,44,33.1,33.9,32.1,57.2,32.8,25.4,35.1
Cleveland Cavaliers: 1999,-1.72,-0.94,99.6,101.6,-2,44,44,33.9,39.9,17.8,60.8,32.8,35.7,35.1
Washington Wizards: 1999,-2.24,-1.75,101.2,103.7,-2.5,36,42,31.3,33.9,39.2,28.6,30.6,21.8,30.8
Dallas Mavericks: 1999,-2.4,-2.5,102.3,104.9,-2.6,38,42,30.6,29.2,50,14.3,30,25.4,30.8
Golden State Warriors: 1999,-2.5,-2.63,98.4,101.1,-2.7,42,40,29.6,27.8,3.5,67.9,29.3,31.5,26.1
New Jersey Nets: 1999,-3.78,-3.2,99.5,103.6,-4.1,32,36,21.8,24.4,14.2,32.2,21.1,16.2,20.2
Denver Nuggets: 1999,-6.6,-6.67,103.1,110.4,-7.3,28,28,9.9,8.6,60.7,0,8.3,9.3,7.9
Vancouver Grizzlies: 1999,-8.66,-8.94,98.4,107.9,-9.5,16,22,4.4,2.4,3.5,7.2,3.1,0.7,3.5
Los Angeles Clippers: 1999,-8.82,-8.94,100,109.7,-9.7,18,22,3.7,2.4,25,3.6,2.6,0.9,3.5
Chicago Bulls: 1999,-9.46,-8.58,92.4,103,-10.6,26,18,1.9,3.5,0,46.5,0.9,7.9,0.3
Los Angeles Lakers: 2000,8.55,8.41,107.3,98.2,9.1,81.70731707,78.04878049,98.1,98.4,82.1,100,98.2,99.1,98.6
Portland Trail Blazers: 2000,6.4,6.36,107.9,100.8,7.1,71.95121951,71.95121951,91.3,91.9,92.8,85.8,92.6,92.5,92.3
San Antonio Spurs: 2000,5.94,5.92,105,98.6,6.4,64.63414634,70.73170732,88.9,90,60.7,96.5,89.6,79.2,90.5
Phoenix Suns: 2000,5.22,5.24,104.6,99,5.6,64.63414634,68.29268293,85.9,86.7,46.4,92.9,85.8,79.2,86.2
Utah Jazz: 2000,4.46,4.52,107.3,102.3,5,67.07317073,65.85365854,82.3,83.4,82.1,64.3,83.5,83.7,82.8
Indiana Pacers: 2000,4.6,4.15,108.5,103.6,4.9,68.29268293,65.85365854,83.2,81,100,57.2,83.1,86.4,82.8
Miami Heat: 2000,3.11,2.75,104.5,101,3.5,63.41463415,60.97560976,72.4,71.1,42.8,78.6,73.6,77.4,72.2
Sacramento Kings: 2000,2.91,3.04,105,102.1,2.9,53.65853659,59.75609756,71.5,73.2,60.7,67.9,70.1,55,70.1
Charlotte Hornets: 2000,2.67,2.33,104.3,101.4,2.9,59.75609756,59.75609756,70,66.7,39.2,75,70.1,68.8,70.1
Minnesota Timberwolves: 2000,2.52,2.67,106.1,103.4,2.7,60.97560976,58.53658537,68.7,70.3,75,60.8,68.5,71.3,66.5
New York Knicks: 2000,1.46,1.3,102.5,100.9,1.6,60.97560976,56.09756098,59.2,58.2,28.5,82.2,59.4,71.3,60.6
Detroit Pistons: 2000,1.44,1.13,107.3,105.8,1.5,51.2195122,54.87804878,58.9,56.5,82.1,32.2,58.6,48.5,57.6
Philadelphia 76ers: 2000,1.34,1.02,101.5,100,1.5,59.75609756,54.87804878,57.9,55.9,14.2,89.3,58.6,68.8,57.6
Seattle SuperSonics: 2000,0.95,1.17,105.6,104.6,1,54.87804878,53.65853659,54.9,56.8,71.4,50,54.6,58.8,54.7
Orlando Magic: 2000,0.68,0.43,102.4,101.7,0.7,50,52.43902439,52.6,51.9,25,71.5,52.2,44,51.9
Milwaukee Bucks: 2000,0.22,-0.06,108.2,107.9,0.3,51.2195122,51.2195122,49.2,48.1,96.4,14.3,49.6,48.5,49.1
Toronto Raptors: 2000,-0.16,-0.46,104.7,104.9,-0.2,54.87804878,50,47.3,44.3,50,42.9,46.2,58.8,47.3
Dallas Mavericks: 2000,-0.57,-0.29,106.6,107.2,-0.6,48.7804878,47.56097561,43.1,45.8,78.5,17.9,42.9,41.8,41
Boston Celtics: 2000,-0.76,-1,104.8,105.6,-0.8,42.68292683,47.56097561,42.2,39.6,53.5,39.3,41.9,31.7,41
Houston Rockets: 2000,-0.87,-0.57,104.8,105.7,-0.9,41.46341463,47.56097561,41,43.1,53.5,35.8,40.8,29.8,41
New Jersey Nets: 2000,-1.04,-1.18,105.1,106.3,-1.2,37.80487805,46.34146341,39.8,38.1,67.8,25,37.9,23.5,38
Denver Nuggets: 2000,-2.12,-1.76,103.5,105.8,-2.3,42.68292683,42.68292683,32.1,33.8,32.1,32.2,31.4,31.7,31.1
Washington Wizards: 2000,-3.28,-3.47,103.5,107,-3.5,35.36585366,39.02439024,25,22.9,32.1,21.5,24.4,19.9,24.2
Cleveland Cavaliers: 2000,-3.5,-3.64,100.4,104,-3.6,39.02439024,37.80487805,23.7,22,10.7,53.6,23.9,25.6,21.6
Atlanta Hawks: 2000,-5.38,-5.41,102,107.9,-5.9,34.14634146,31.70731707,14.7,13.3,17.8,14.3,13.1,17.9,12.9
Vancouver Grizzlies: 2000,-5.62,-5.1,102.3,108.5,-6.2,26.82926829,30.48780488,13.6,15.1,21.4,3.6,12.2,8,11.7
Golden State Warriors: 2000,-8.27,-7.63,99.8,108.4,-8.6,23.17073171,24.3902439,5.1,5.4,7.1,7.2,4.8,4.1,4.7
Chicago Bulls: 2000,-9.4,-9.23,94.2,104.6,-10.4,20.73170732,18.29268293,2.1,1.9,0,50,1.2,2.1,0.4
Los Angeles Clippers: 2000,-11.52,-10.73,97.8,110.1,-12.3,18.29268293,15.85365854,0.2,0.4,3.5,0,0.2,1,0.2
San Antonio Spurs: 2001,7.76,7.92,106.6,98,8.6,70.73170732,76.82926829,96.9,97.6,82.1,100,97.4,91,98
Sacramento Kings: 2001,5.82,6.07,105.6,99.6,6,67.07317073,69.51219512,88.5,90.5,67.8,78.6,87.9,83.7,88.7
Utah Jazz: 2001,4.7,5,107.6,102.4,5.2,64.63414634,67.07317073,83.5,85.4,92.8,60.8,84.4,79.2,84.8
Philadelphia 76ers: 2001,4.28,3.64,103.6,98.9,4.7,68.29268293,65.85365854,81.2,77.7,57.1,85.8,81.7,86.4,82.8
Portland Trail Blazers: 2001,4.2,4.52,106.5,101.8,4.7,60.97560976,64.63414634,80.1,83.4,78.5,75,81.7,71.3,79.9
Dallas Mavericks: 2001,4.28,4.61,107.1,102.6,4.5,64.63414634,64.63414634,81.2,83.7,89.2,57.2,79.9,79.2,79.9
Milwaukee Bucks: 2001,3.88,3.14,108.8,104.6,4.2,63.41463415,63.41463415,77.9,74,100,32.2,78.2,77.4,77.6
Los Angeles Lakers: 2001,3.38,3.74,108.4,104.8,3.6,68.29268293,62.19512195,74.2,78.8,96.4,28.6,74.5,86.4,75.5
New York Knicks: 2001,2.63,1.98,101.2,98.2,3,58.53658537,60.97560976,69.5,64.4,35.7,92.9,70.9,66.1,72.2
Miami Heat: 2001,2.29,1.73,101.1,98.5,2.6,60.97560976,58.53658537,66.4,62.3,32.1,89.3,68,71.3,66.5
Toronto Raptors: 2001,2.26,1.69,105.9,103.4,2.5,57.31707317,58.53658537,66.1,61.7,75,53.6,66.7,62.9,66.5
Houston Rockets: 2001,2.29,2.71,106.7,104.2,2.5,54.87804878,58.53658537,66.4,70.6,85.7,42.9,66.7,58.8,66.5
Charlotte Hornets: 2001,2.1,1.45,101.8,99.5,2.3,56.09756098,58.53658537,64.5,59.4,46.4,82.2,64.6,61.5,66.5
Phoenix Suns: 2001,2.21,2.63,100.3,98,2.3,62.19512195,58.53658537,65.6,70,21.4,100,64.6,75.5,66.5
Minnesota Timberwolves: 2001,1.35,1.81,105.2,103.7,1.5,57.31707317,54.87804878,58,63.4,64.2,50,58.6,62.9,57.6
Orlando Magic: 2001,0.99,0.39,103.2,102.1,1.1,52.43902439,53.65853659,55.4,51.6,53.5,67.9,55.6,52.7,54.7
Seattle SuperSonics: 2001,0.02,0.55,105.6,105.6,0,53.65853659,50,48.3,52.7,67.8,17.9,48.2,55,47.3
Indiana Pacers: 2001,-0.2,-0.77,102,102.2,-0.2,50,48.7804878,47,41.2,50,64.3,46.2,44,43.6
Detroit Pistons: 2001,-1.7,-2.08,100,101.8,-1.8,39.02439024,43.90243902,34.3,31.2,14.2,75,33.7,25.6,32.9
Boston Celtics: 2001,-2.13,-2.4,101.4,103.7,-2.3,43.90243902,42.68292683,32,29.6,42.8,50,31.4,33.3,31.1
Denver Nuggets: 2001,-2.46,-1.83,103.7,106.3,-2.6,48.7804878,41.46341463,29.9,32.8,60.7,10.8,30,41.8,29.2
Los Angeles Clippers: 2001,-2.89,-2.23,101.3,104.5,-3.2,37.80487805,39.02439024,27.6,30.6,39.2,35.8,26.3,23.5,24.2
Cleveland Cavaliers: 2001,-4.24,-4.48,100.3,104.9,-4.6,36.58536585,34.14634146,19.6,17.8,21.4,25,18.6,21.9,16.4
New Jersey Nets: 2001,-5.05,-5.3,100,105.5,-5.5,31.70731707,31.70731707,15.9,13.8,14.2,21.5,15.1,14.3,12.9
Atlanta Hawks: 2001,-5.21,-5.55,98.7,104.3,-5.6,30.48780488,31.70731707,15.2,12.9,7.1,39.3,14.6,12.9,12.9
Vancouver Grizzlies: 2001,-5.73,-4.94,99.6,105.8,-6.2,28.04878049,30.48780488,12.9,15.9,10.7,14.3,12.2,9.4,11.7
Washington Wizards: 2001,-6.67,-6.75,100.6,107.8,-7.2,23.17073171,28.04878049,9.5,8.1,28.5,0,8.5,4.1,8
Golden State Warriors: 2001,-9.05,-8.11,97.8,107.4,-9.6,20.73170732,20.73170732,3.2,4.7,3.5,3.6,2.7,2.1,1.7
Chicago Bulls: 2001,-9.1,-9.09,97.2,107.3,-10.1,18.29268293,19.51219512,3.1,2.1,0,7.2,1.6,1,0.8
Sacramento Kings: 2002,7.61,7.61,109,101.1,7.9,74.3902439,74.3902439,96.2,97.1,89.2,82.2,95.5,95.2,95.5
Los Angeles Lakers: 2002,7.12,7.15,109.4,101.7,7.7,70.73170732,73.17073171,94.3,95.8,96.4,78.6,95,91,94.8
San Antonio Spurs: 2002,6.21,6.28,106.5,99.7,6.8,70.73170732,71.95121951,90.3,91.4,71.4,96.5,91.6,91,92.3
New Jersey Nets: 2002,4.16,3.67,104,99.5,4.5,63.41463415,64.63414634,79.8,78.1,42.8,100,79.9,77.4,79.9
Dallas Mavericks: 2002,4.26,4.41,112.2,107.7,4.5,69.51219512,64.63414634,81,82.4,100,14.3,79.9,88.4,79.9
Minnesota Timberwolves: 2002,3.38,3.58,109,105.3,3.7,60.97560976,62.19512195,74.2,76.8,89.2,50,75.4,71.3,75.5
Portland Trail Blazers: 2002,2.99,3.21,107.4,104,3.4,59.75609756,60.97560976,71.8,74.4,82.1,60.8,72.8,68.8,72.2
Seattle SuperSonics: 2002,3.02,3.24,108.9,105.6,3.3,54.87804878,60.97560976,72,74.7,85.7,42.9,72.2,58.8,72.2
Boston Celtics: 2002,2.21,1.75,103.4,101,2.4,59.75609756,58.53658537,65.6,62.6,39.2,85.8,66.2,68.8,66.5
Detroit Pistons: 2002,2.13,1.69,104.8,102.4,2.4,60.97560976,58.53658537,64.9,61.7,57.1,75,66.2,71.3,66.5
Philadelphia 76ers: 2002,1.6,1.27,102.1,100.3,1.8,52.43902439,56.09756098,61,57.8,21.4,89.3,61.7,52.7,60.6
Orlando Magic: 2002,1.57,1.25,107,105.3,1.7,53.65853659,56.09756098,60.4,57.4,78.5,50,60.3,55,60.6
Utah Jazz: 2002,0.89,1.21,105.6,104.6,1,53.65853659,53.65853659,54.2,57.2,67.8,53.6,54.6,55,54.7
Charlotte Hornets: 2002,0.96,0.57,104.3,103.3,1,53.65853659,53.65853659,55.2,53,50,67.9,54.6,55,54.7
Indiana Pacers: 2002,0.27,-0.07,104.1,103.8,0.3,51.2195122,51.2195122,50.1,47.6,46.4,64.3,49.6,48.5,49.1
Milwaukee Bucks: 2002,-0.22,-0.62,106.9,107.1,-0.2,50,48.7804878,46.4,42.3,75,21.5,46.2,44,43.6
Los Angeles Clippers: 2002,-0.46,-0.09,105.5,106,-0.5,47.56097561,48.7804878,44,47.3,64.2,35.8,43.5,39.7,43.6
Toronto Raptors: 2002,-0.44,-0.71,102.6,103.1,-0.5,51.2195122,48.7804878,44.2,41.7,25,71.5,43.5,48.5,43.6
