Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
41,1985,Atlanta Hawks,Atlanta Hawks: 1985,ATL,Lorenzo Charles,NC State,1,36,273,0.5,0.086,-1.6,0,Yes,25.2,44.6,62.9,54.7,69.8,117.6,187.4,51.9,66.1,56,,,,,,,,,,,,,
42,1985,Golden State Warriors,Golden State Warriors: 1985,GSW,Bobby Lee Hurt,Alabama,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
43,1985,Denver Nuggets,Denver Nuggets: 1985,DEN,Barry Stevens,Iowa State,1,2,6,0,0.157,-0.8,0,Yes,11,44.6,95,66.4,55.6,161.4,217,25.7,85,61.6,,,,,,,,,,,,,
44,1985,Philadelphia 76ers,Philadelphia 76ers: 1985,PHI,Voise Winters,Bradley,1,4,17,-0.1,-0.355,-21.8,-0.1,Yes,7.3,37.7,0.4,0.4,45,0.8,45.8,14.4,0.4,4.8,,,,,,,,,,,,,
45,1985,Cleveland Cavaliers,Cleveland Cavaliers: 1985,CLE,Hot Rod Williams,Tulane,13,887,26327,70.5,0.129,1,19.9,Yes,93,91.3,87.4,87.1,184.3,174.5,358.8,93.3,90.4,93.4,,,,,,,,,,,,,
46,1985,Chicago Bulls,Chicago Bulls: 1985,CHI,Adrian Branch,Maryland,4,130,1429,2.1,0.07,-1.9,0,Yes,36.1,44.6,49.5,50.1,80.7,99.6,180.3,56.3,56.3,55.1,,,,,,,,,,,,,
47,1985,New York Knicks,New York Knicks: 1985,NYK,Gerald Wilkins,Chattanooga,13,900,26084,33.9,0.062,-1.2,5.3,Yes,78.7,74.1,43.3,60.8,152.8,104.1,256.9,79.6,58.8,71,,,,,,,,,,,,,
48,1985,Indiana Pacers,Indiana Pacers: 1985,IND,Kenny Patterson,DePaul,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
49,1985,Golden State Warriors,Golden State Warriors: 1985,GSW,Brad Wright,UCLA,2,16,145,-0.1,-0.045,-8,-0.2,Yes,7.3,31.8,5.7,5.3,39.1,11,50.1,9.9,4.1,6.5,,,,,,,,,,,,,
50,1985,Dallas Mavericks,Dallas Mavericks: 1985,DAL,Leonard Allen,San Diego State,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
51,1985,Sacramento Kings,Sacramento Kings: 1985,SAC,Charles Bradley,South Florida,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
52,1985,Los Angeles Clippers,Los Angeles Clippers: 1985,LAC,Anicet Lavodrama,Houston Baptist University,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
53,1985,Seattle SuperSonics,Seattle SuperSonics: 1985,SEA,Rolando Lamb,VCU,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
54,1985,Houston Rockets,Houston Rockets: 1985,HOU,Sam Mitchell,Mercer University,13,994,22257,41.7,0.09,-2.5,-3.1,Yes,83,2.7,66.2,41.2,85.7,107.4,193.1,57.4,60.4,57,,,,,,,,,,,,,
55,1985,Cleveland Cavaliers,Cleveland Cavaliers: 1985,CLE,Herb Johnson,Tulsa,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
56,1985,Phoenix Suns,Phoenix Suns: 1985,PHO,Jerry Everett,Lamar,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
57,1985,Houston Rockets,Houston Rockets: 1985,HOU,Michael Payne,Iowa,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
58,1985,Washington Bullets,Washington Bullets: 1985,WSB,Vernon Moore,Creighton,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
59,1985,Atlanta Hawks,Atlanta Hawks: 1985,ATL,Sedric Toney,Dayton,5,112,1410,0,0,-5,-1.1,Yes,11,11.6,13.8,15.9,22.6,29.7,52.3,3.5,11.8,7.2,,,,,,,,,,,,,
60,1985,Detroit Pistons,Detroit Pistons: 1985,DET,Andre Goode,Northwestern,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
1,1986,Cleveland Cavaliers,Cleveland Cavaliers: 1986,CLE,Brad Daugherty,UNC,8,548,20029,65.2,0.156,2.2,21.3,Yes,92.2,92.1,94.8,93.8,184.3,188.6,372.9,93.3,96.3,96,,,,,,,,,,,,,
2,1986,Boston Celtics,Boston Celtics: 1986,BOS,Len Bias,Maryland,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
