Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
10,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Mikal Bridges,Villanova,7,556,18514,42,0.109,0.7,12.6,Yes,83.2,86,77.6,84.2,169.2,161.8,331,87.3,85.1,87.3,,,,,,,,,,,,,
11,2018,Charlotte Hornets,Charlotte Hornets: 2018,CHO,Shai Gilgeous-Alexander,Kentucky,7,462,15291,60.4,0.189,5.5,29.1,Yes,90.5,95,98.1,99,185.5,197.1,382.6,94,99,97.7,,,,,,,,,,,,,
12,2018,Los Angeles Clippers,Los Angeles Clippers: 2018,LAC,Miles Bridges,Michigan State,6,424,13070,21.3,0.078,-0.1,6.4,Yes,67.7,76.2,55.7,75.2,143.9,130.9,274.8,76,71.8,74.3,,,,,,,,,,,,,
13,2018,Los Angeles Clippers,Los Angeles Clippers: 2018,LAC,Jerome Robinson,Boston College,4,135,1685,-0.2,-0.004,-4.8,-1.2,Yes,4.5,10.6,12.7,17.6,15.1,30.3,45.4,1.5,12,4.6,,,,,,,,,,,,,
14,2018,Denver Nuggets,Denver Nuggets: 2018,DEN,Michael Porter Jr.,Missouri,6,345,10036,26.5,0.127,0.7,6.8,Yes,72.8,77.1,86.7,84.2,149.9,170.9,320.8,78.5,88.7,85.1,,,,,,,,,,,,,
15,2018,Washington Wizards,Washington Wizards: 2018,WAS,Troy Brown Jr.,Oregon,6,356,6778,8.6,0.061,-1.8,0.4,Yes,51.2,55.5,42.3,51.7,106.7,94,200.7,62.8,53.7,58.2,,,,,,,,,,,,,
16,2018,Phoenix Suns,Phoenix Suns: 2018,PHO,Zhaire Smith,Texas Tech,2,13,143,0,0.011,-6.1,-0.1,Yes,11,37.7,17.3,9.7,48.7,27,75.7,18.6,10.8,14.6,,,,,,,,,,,,,
17,2018,Milwaukee Bucks,Milwaukee Bucks: 2018,MIL,Donte DiVincenzo,Villanova,7,416,10610,23.9,0.108,1.1,8.3,Yes,70.1,79.8,77.3,88.2,149.9,165.5,315.4,78.5,86.8,84,,,,,,,,,,,,,
18,2018,San Antonio Spurs,San Antonio Spurs: 2018,SAS,Lonnie Walker IV,Miami (FL),7,342,7025,4.9,0.033,-2.5,-1,Yes,44.7,12.8,25.9,41.2,57.5,67.1,124.6,43.3,28.4,28.1,,,,,,,,,,,,,
19,2018,Atlanta Hawks,Atlanta Hawks: 2018,ATL,Kevin Huerter,Maryland,7,482,13566,19.1,0.068,-1,3.6,Yes,64.9,69.4,47.2,63.5,134.3,110.7,245,72.6,62.2,67.5,,,,,,,,,,,,,
20,2018,Minnesota Timberwolves,Minnesota Timberwolves: 2018,MIN,Josh Okogie,Georgia Tech,7,416,7952,11.6,0.07,-1.8,0.4,Yes,55,55.5,49.5,51.7,110.5,101.2,211.7,63.9,57.2,60.4,,,,,,,,,,,,,
21,2018,Utah Jazz,Utah Jazz: 2018,UTA,Grayson Allen,Duke,7,403,10227,22.6,0.106,0,5.1,Yes,68.9,73.7,75.9,76.5,142.6,152.4,295,75.6,81.2,79.3,,,,,,,,,,,,,
22,2018,Chicago Bulls,Chicago Bulls: 2018,CHI,Chandler Hutchison,Boise State,4,103,1790,1.1,0.03,-3.9,-0.9,Yes,30.9,13.7,24.2,24.2,44.6,48.4,93,14.1,19.7,18.9,,,,,,,,,,,,,
23,2018,Indiana Pacers,Indiana Pacers: 2018,IND,Aaron Holiday,UCLA,7,448,7366,10.1,0.066,-1.9,0.1,Yes,53.2,51.7,45.7,50.1,104.9,95.8,200.7,62.2,54.6,58.2,,,,,,,,,,,,,
24,2018,Portland Trail Blazers,Portland Trail Blazers: 2018,POR,Anfernee Simons,,7,389,10420,12.8,0.059,-1.1,2.2,No,56.9,64.3,40.7,62.4,121.2,103.1,224.3,67.4,58.1,63.2,,,,,,,,,,,,,
25,2018,Los Angeles Lakers,Los Angeles Lakers: 2018,LAL,Moritz Wagner,Michigan,7,363,6051,16.9,0.134,0.2,3.4,Yes,62.5,68.8,89.3,78.8,131.3,168.1,299.4,71.4,87.9,80.4,,,,,,,,,,,,,
26,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Landry Shamet,Wichita State,7,398,8389,13.1,0.075,-2,0,Yes,57.5,44.6,53.2,48.2,102.1,101.4,203.5,61.4,57.3,59,,,,,,,,,,,,,
27,2018,Boston Celtics,Boston Celtics: 2018,BOS,Robert Williams,Texas A&M,7,235,4754,23.9,0.241,4.7,7.9,Yes,70.1,79,99.6,98.3,149.1,197.9,347,78.2,99.2,90.9,,,,,,,,,,,,,
28,2018,Golden State Warriors,Golden State Warriors: 2018,GSW,Jacob Evans,Cincinnati,2,59,622,-0.6,-0.047,-7.4,-0.8,Yes,1.5,15,5.3,6.5,16.5,11.8,28.3,1.8,4.4,0.9,,,,,,,,,,,,,
29,2018,Brooklyn Nets,Brooklyn Nets: 2018,BRK,Dzanan Musa,,2,49,526,0,0.003,-4.6,-0.4,No,11,24.4,14.8,19.2,35.4,34,69.4,7.7,13.7,12.5,,,,,,,,,,,,,
30,2018,Atlanta Hawks,Atlanta Hawks: 2018,ATL,Omari Spellman,Villanova,2,95,1691,2.4,0.068,-1.5,0.2,Yes,37.5,53.7,47.2,56.6,91.2,103.8,195,58.8,58.4,57.2,,,,,,,,,,,,,
31,2018,Phoenix Suns,Phoenix Suns: 2018,PHO,Elie Okobo,,2,108,1677,0.5,0.014,-4.1,-0.9,No,25.2,13.7,18.2,22.5,38.9,40.7,79.6,9.8,16.5,15.5,,,,,,,,,,,,,
32,2018,Memphis Grizzlies,Memphis Grizzlies: 2018,MEM,Jevon Carter,West Virginia,7,412,6279,8.5,0.065,-1.5,0.8,Yes,51,58.8,45.2,56.6,109.8,101.8,211.6,63.6,57.5,60.4,,,,,,,,,,,,,
33,2018,Dallas Mavericks,Dallas Mavericks: 2018,DAL,Jalen Brunson,Villanova,7,487,14240,45.5,0.153,2.3,15.5,Yes,84.9,88.4,94.1,94.3,173.3,188.4,361.7,89.1,96.2,93.8,,,,,,,,,,,,,
34,2018,Atlanta Hawks,Atlanta Hawks: 2018,ATL,Devonte' Graham,Kansas,6,336,8359,12.7,0.073,-0.5,3.2,Yes,56.8,68.2,51.9,70.2,125,122.1,247.1,68.7,67.9,68.3,,,,,,,,,,,,,
35,2018,Orlando Magic,Orlando Magic: 2018,ORL,Melvin Frazier,Tulane,3,32,290,-0.4,-0.062,-10,-0.6,Yes,2.5,18.9,4.8,2.8,21.4,7.6,29,3,2.9,1,,,,,,,,,,,,,
36,2018,New York Knicks,New York Knicks: 2018,NYK,Mitchell Robinson,,7,337,8122,35.2,0.208,2.1,8.5,No,79.3,80,99,93.5,159.3,192.5,351.8,83.1,97.5,91.8,,,,,,,,,,,,,
37,2018,Sacramento Kings,Sacramento Kings: 2018,SAC,Gary Trent Jr.,Duke,7,415,11698,19.1,0.078,-1.1,2.6,Yes,64.9,66,55.7,62.4,130.9,118.1,249,71.3,66.3,68.9,,,,,,,,,,,,,
38,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Khyri Thomas,Creighton,3,39,409,0.5,0.058,-2.7,-0.1,Yes,25.2,37.7,39.8,37.9,62.9,77.7,140.6,47.6,33.5,32.8,,,,,,,,,,,,,
39,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Isaac Bonga,,4,143,1871,1.7,0.044,-3.6,-0.7,No,34.2,16.9,31.9,28,51.1,59.9,111,21.1,25,24.7,,,,,,,,,,,,,
40,2018,Brooklyn Nets,Brooklyn Nets: 2018,BRK,Rodions Kurucs,,3,131,2103,2.3,0.052,-2.8,-0.4,No,37,24.4,36.2,36.4,61.4,72.6,134,46.9,30.6,31,,,,,,,,,,,,,
41,2018,Orlando Magic,Orlando Magic: 2018,ORL,Jarred Vanderbilt,Kentucky,7,309,6175,16.8,0.13,0.1,3.2,Yes,62.4,68.2,87.8,77.6,130.6,165.4,296,71.2,86.8,79.8,,,,,,,,,,,,,
42,2018,Detroit Pistons,Detroit Pistons: 2018,DET,Bruce Brown,Miami (FL),7,457,11376,19.9,0.084,-1.5,1.5,Yes,65.9,62.1,60.8,56.6,128,117.4,245.4,70.1,66,67.6,,,,,,,,,,,,,
43,2018,Denver Nuggets,Denver Nuggets: 2018,DEN,Justin Jackson,Maryland,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
44,2018,Washington Wizards,Washington Wizards: 2018,WAS,Issuf Sanon,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
45,2018,Brooklyn Nets,Brooklyn Nets: 2018,BRK,Hamidou Diallo,Kentucky,6,265,4918,6.2,0.06,-2.1,-0.1,Yes,47,37.7,41.5,46.4,84.7,87.9,172.6,57.2,37.3,53.3,,,,,,,,,,,,,
46,2018,Houston Rockets,Houston Rockets: 2018,HOU,De'Anthony Melton,USC,7,356,8147,14.3,0.084,0.6,5.3,Yes,59.3,74.1,60.8,83.3,133.4,144.1,277.5,72.2,77.6,74.8,,,,,,,,,,,,,
47,2018,Los Angeles Lakers,Los Angeles Lakers: 2018,LAL,Svi Mykhailiuk,Kansas,7,331,5386,4.1,0.037,-2.5,-0.7,Yes,43,16.9,28,41.2,59.9,69.2,129.1,45,29.1,29.4,,,,,,,,,,,,,
48,2018,Minnesota Timberwolves,Minnesota Timberwolves: 2018,MIN,Keita Bates-Diop,Ohio State,6,283,4566,7.4,0.078,-1.6,0.5,Yes,49.4,56.5,55.7,54.7,105.9,110.4,216.3,62.5,61.9,61.4,,,,,,,,,,,,,
49,2018,San Antonio Spurs,San Antonio Spurs: 2018,SAS,Chimezie Metu,USC,6,260,3565,5.7,0.076,-1.6,0.3,Yes,46.3,54.7,54,54.7,101,108.7,209.7,61,61.1,59.8,,,,,,,,,,,,,
50,2018,Indiana Pacers,Indiana Pacers: 2018,IND,Alize Johnson,Missouri State,5,76,568,1.3,0.108,-2.4,-0.1,Yes,31.9,37.7,77.3,42.8,69.6,120.1,189.7,51.8,67.1,56.4,,,,,,,,,,,,,
51,2018,New Orleans Pelicans,New Orleans Pelicans: 2018,NOP,Tony Carr,Penn State,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
52,2018,Utah Jazz,Utah Jazz: 2018,UTA,Vince Edwards,Purdue,1,2,16,0,-0.014,-6.4,0,Yes,11,44.6,10.8,8.5,55.6,19.3,74.9,25.7,7.3,14.4,,,,,,,,,,,,,
53,2018,Oklahoma City Thunder,Oklahoma City Thunder: 2018,OKC,Devon Hall,Virginia,1,11,81,-0.2,-0.116,-6.7,-0.1,Yes,4.5,37.7,2.7,7.9,42.2,10.6,52.8,11.9,3.9,7.5,,,,,,,,,,,,,
54,2018,Dallas Mavericks,Dallas Mavericks: 2018,DAL,Shake Milton,SMU,7,359,6698,11.7,0.084,-2,-0.1,Yes,55.2,37.7,60.8,48.2,92.9,109,201.9,59.4,61.2,58.4,,,,,,,,,,,,,
55,2018,Charlotte Hornets,Charlotte Hornets: 2018,CHO,Arnoldas Kulboka,,1,2,5,0,-0.217,-21.8,0,No,11,44.6,1.1,0.4,55.6,1.5,57.1,25.7,0.5,8.9,,,,,,,,,,,,,
56,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Ray Spalding,Louisville,2,16,167,0.1,0.024,-6.2,-0.2,Yes,16.7,31.8,21.3,9.2,48.5,30.5,79,17.9,12.3,15.4,,,,,,,,,,,,,
57,2018,Oklahoma City Thunder,Oklahoma City Thunder: 2018,OKC,Kevin Hervey,UT Arlington,1,10,52,-0.1,-0.085,-5.1,0,Yes,7.3,44.6,3.7,15.2,51.9,18.9,70.8,21.8,7,12.9,,,,,,,,,,,,,
58,2018,Denver Nuggets,Denver Nuggets: 2018,DEN,Thomas Welsh,UCLA,1,11,36,0.1,0.162,1.2,0,Yes,16.7,44.6,95.9,88.8,61.3,184.7,246,46.3,95.1,67.9,,,,,,,,,,,,,
59,2018,Phoenix Suns,Phoenix Suns: 2018,PHO,George King,Colorado,2,5,25,-0.1,-0.225,-17.2,-0.1,Yes,7.3,37.7,0.9,0.9,45,1.8,46.8,14.4,0.8,5.2,,,,,,,,,,,,,
60,2018,Philadelphia 76ers,Philadelphia 76ers: 2018,PHI,Kostas Antetokounmpo,Dayton,3,22,87,-0.2,-0.098,-9.9,-0.2,Yes,4.5,31.8,3,2.9,36.3,5.9,42.2,8.1,2.2,3.8,,,,,,,,,,,,,
1,2019,New Orleans Pelicans,New Orleans Pelicans: 2019,NOP,Zion Williamson,Duke,5,214,6714,24.2,0.173,4.9,11.8,Yes,70.5,84.7,97,98.5,155.2,195.5,350.7,80.9,98.6,91.6,,,,,,,,,,,,,
2,2019,Memphis Grizzlies,Memphis Grizzlies: 2019,MEM,Ja Morant,Murray State,6,307,9801,24.1,0.118,2.7,11.8,Yes,70.4,84.7,82.9,95.5,155.1,178.4,333.5,80.8,92.3,87.9,,,,,,,,,,,,,
3,2019,New York Knicks,New York Knicks: 2019,NYK,RJ Barrett,Duke,6,387,12814,13.3,0.05,-1.7,0.9,Yes,57.7,59.5,35,53.3,117.2,88.3,205.5,65.8,37.4,59.2,,,,,,,,,,,,,
4,2019,Los Angeles Lakers,Los Angeles Lakers: 2019,LAL,De'Andre Hunter,Virginia,6,327,9820,12.1,0.059,-2.6,-1.5,Yes,56,8.2,40.7,39.4,64.2,80.1,144.3,48,34.2,33.8,,,,,,,,,,,,,
5,2019,Cleveland Cavaliers,Cleveland Cavaliers: 2019,CLE,Darius Garland,Vanderbilt,6,382,12693,24.6,0.093,0.3,7.3,Yes,70.8,77.7,68,80,148.5,148,296.5,77.8,79.5,79.9,,,,,,,,,,,,,
6,2019,Phoenix Suns,Phoenix Suns: 2019,PHO,Jarrett Culver,Texas Tech,4,144,2480,-0.1,-0.001,-4.5,-1.6,Yes,7.3,7.6,13.4,19.8,14.9,33.2,48.1,1.4,13.4,5.8,,,,,,,,,,,,,
7,2019,Chicago Bulls,Chicago Bulls: 2019,CHI,Coby White,UNC,6,422,12566,17.9,0.069,-1.5,1.5,Yes,63.3,62.1,48.3,56.6,125.4,104.9,230.3,69,59.1,64.6,,,,,,,,,,,,,
8,2019,Atlanta Hawks,Atlanta Hawks: 2019,ATL,Jaxson Hayes,Texas,6,367,6022,20.1,0.16,-0.4,2.5,Yes,66.3,65.7,95.7,71.5,132,167.2,299.2,71.8,87.1,80.3,,,,,,,,,,,,,
9,2019,Washington Wizards,Washington Wizards: 2019,WAS,Rui Hachimura,Gonzaga,6,337,9345,15.6,0.08,-1.9,0.2,Yes,60.8,53.7,57.7,50.1,114.5,107.8,222.3,65.1,60.5,62.8,,,,,,,,,,,,,
10,2019,Atlanta Hawks,Atlanta Hawks: 2019,ATL,Cam Reddish,Duke,6,254,5876,3.3,0.027,-3.1,-1.7,Yes,40.9,6.9,23.2,32.9,47.8,56.1,103.9,17.5,23.6,22.2,,,,,,,,,,,,,
11,2019,Minnesota Timberwolves,Minnesota Timberwolves: 2019,MIN,Cameron Johnson,UNC,6,340,9020,22.9,0.122,1.6,8.2,Yes,69.1,79.7,84.9,91,148.8,175.9,324.7,78,91,86.1,,,,,,,,,,,,,
12,2019,Charlotte Hornets,Charlotte Hornets: 2019,CHO,P.J. Washington,Kentucky,6,390,11917,14.8,0.06,-1.2,2.4,Yes,60,65.3,41.5,60.8,125.3,102.3,227.6,68.9,57.8,64,,,,,,,,,,,,,
13,2019,Miami Heat,Miami Heat: 2019,MIA,Tyler Herro,Kentucky,6,361,11763,19.9,0.081,0.7,8,Yes,65.9,79.4,58.9,84.2,145.3,143.1,288.4,76.6,77.2,77.8,,,,,,,,,,,,,
14,2019,Boston Celtics,Boston Celtics: 2019,BOS,Romeo Langford,Indiana,4,141,2268,2,0.043,-3.4,-0.8,Yes,35.6,15,31.2,30.1,50.6,61.3,111.9,20.6,25.7,25.1,,,,,,,,,,,,,
15,2019,Detroit Pistons,Detroit Pistons: 2019,DET,Sekou Doumbouya,,3,96,1639,-0.4,-0.013,-6.5,-1.8,No,2.5,6.2,11.1,8.3,8.7,19.4,28.1,0.5,7.3,0.9,,,,,,,,,,,,,
16,2019,Orlando Magic,Orlando Magic: 2019,ORL,Chuma Okeke,Auburn,5,198,4028,5,0.06,-1.1,1,Yes,45,59.9,41.5,62.4,104.9,103.9,208.8,62.2,58.6,59.6,,,,,,,,,,,,,
17,2019,Brooklyn Nets,Brooklyn Nets: 2019,BRK,Nickeil Alexander-Walker,Virginia Tech,6,381,7942,10.2,0.062,-1.2,1.6,Yes,53.3,62.5,43.3,60.8,115.8,104.1,219.9,65.4,58.8,62.3,,,,,,,,,,,,,
18,2019,Indiana Pacers,Indiana Pacers: 2019,IND,Goga Bitadze,,6,319,4605,14.9,0.155,0.8,3.3,No,60.1,68.5,94.5,85.1,128.6,179.6,308.2,70.5,93,82.7,,,,,,,,,,,,,
19,2019,San Antonio Spurs,San Antonio Spurs: 2019,SAS,Luka Samanic,,4,86,921,0,0.001,-5.6,-0.8,No,11,15,14.2,12.3,26,26.5,52.5,4.4,10.6,7.3,,,,,,,,,,,,,
20,2019,Boston Celtics,Boston Celtics: 2019,BOS,Matisse Thybulle,Washington,6,347,7269,14.1,0.093,0.9,5.3,Yes,58.9,74.1,68,86.1,133,154.1,287.1,72.1,81.9,77.4,,,,,,,,,,,,,
21,2019,Oklahoma City Thunder,Oklahoma City Thunder: 2019,OKC,Brandon Clarke,Gonzaga,6,307,6392,24.6,0.185,2.4,7.1,Yes,70.8,77.4,98,94.7,148.2,192.7,340.9,77.7,97.7,89.4,,,,,,,,,,,,,
22,2019,Boston Celtics,Boston Celtics: 2019,BOS,Grant Williams,Tennessee,6,380,8710,15.5,0.085,-1.9,0.3,Yes,60.7,54.7,61.9,50.1,115.4,112,227.4,65.3,62.9,63.9,,,,,,,,,,,,,
23,2019,Utah Jazz,Utah Jazz: 2019,UTA,Darius Bazley,,5,237,5536,3.1,0.027,-2.4,-0.6,No,39.9,18.9,23.2,42.8,58.8,66,124.8,43.9,27.7,28.2,,,,,,,,,,,,,
24,2019,Philadelphia 76ers,Philadelphia 76ers: 2019,PHI,Ty Jerome,Virginia,6,229,4140,9.9,0.114,0.4,2.5,Yes,52.7,65.7,80.6,81.5,118.4,162.1,280.5,66,85.4,75.8,,,,,,,,,,,,,
25,2019,Portland Trail Blazers,Portland Trail Blazers: 2019,POR,Nassir Little,UNC,5,237,3735,4.7,0.061,-2.6,-0.5,Yes,44.2,21.7,42.3,39.4,65.9,81.7,147.6,50,34.7,48.4,,,,,,,,,,,,,
26,2019,Cleveland Cavaliers,Cleveland Cavaliers: 2019,CLE,Dylan Windler,Belmont,4,101,1090,1.6,0.072,-1.4,0.2,Yes,33.7,53.7,51.2,58.3,87.4,109.5,196.9,57.9,61.3,57.7,,,,,,,,,,,,,
27,2019,Brooklyn Nets,Brooklyn Nets: 2019,BRK,Mfiondu Kabengele,Florida State,3,55,380,0.4,0.055,-3.6,-0.2,Yes,23.7,31.8,38.1,28,55.5,66.1,121.6,25.4,27.7,27.1,,,,,,,,,,,,,
28,2019,Golden State Warriors,Golden State Warriors: 2019,GSW,Jordan Poole,Michigan,6,412,11350,11.3,0.048,-1.7,0.8,Yes,54.8,58.8,34.2,53.3,113.6,87.5,201.1,64.7,36.9,58.4,,,,,,,,,,,,,
29,2019,San Antonio Spurs,San Antonio Spurs: 2019,SAS,Keldon Johnson,Kentucky,6,370,10600,16.7,0.076,-1.3,1.8,Yes,62.3,62.9,54,59.7,125.2,113.7,238.9,68.8,64,66.4,,,,,,,,,,,,,
30,2019,Milwaukee Bucks,Milwaukee Bucks: 2019,MIL,Kevin Porter Jr.,USC,5,271,7410,6.2,0.04,-1.4,1.2,Yes,47,60.8,29.3,58.3,107.8,87.6,195.4,63.2,37,57.3,,,,,,,,,,,,,
31,2019,Brooklyn Nets,Brooklyn Nets: 2019,BRK,Nic Claxton,Georgia,6,311,8024,26.1,0.156,1.3,6.8,Yes,72.5,77.1,94.8,89.7,149.6,184.5,334.1,78.3,95,88.1,,,,,,,,,,,,,
32,2019,Phoenix Suns,Phoenix Suns: 2019,PHO,KZ Okpala,Stanford,4,98,965,1,0.05,-4.7,-0.7,Yes,29.9,16.9,35,18.4,46.8,53.4,100.2,16.2,22.4,21.2,,,,,,,,,,,,,
33,2019,Philadelphia 76ers,Philadelphia 76ers: 2019,PHI,Carsen Edwards,Purdue,3,72,706,0.3,0.019,-5.1,-0.5,Yes,22,21.7,19.8,15.2,43.7,35,78.7,13.3,14,15.1,,,,,,,,,,,,,
34,2019,Philadelphia 76ers,Philadelphia 76ers: 2019,PHI,Bruno Fernando,Maryland,6,220,2326,3.8,0.079,-3,-0.6,Yes,41.8,18.9,57,33.8,60.7,90.8,151.5,45.7,52.2,49,,,,,,,,,,,,,
35,2019,Atlanta Hawks,Atlanta Hawks: 2019,ATL,Didi Louzada,,2,12,185,-0.1,-0.034,-8.1,-0.3,No,7.3,27.4,6.8,5,34.7,11.8,46.5,6.9,4.4,5,,,,,,,,,,,,,
36,2019,Charlotte Hornets,Charlotte Hornets: 2019,CHO,Cody Martin,Nevada,6,259,5678,7.2,0.061,-1.7,0.4,Yes,49,55.5,42.3,53.3,104.5,95.6,200.1,61.9,54.4,58.1,,,,,,,,,,,,,
37,2019,Dallas Mavericks,Dallas Mavericks: 2019,DAL,Deividas Sirvydis,,2,23,160,-0.1,-0.032,-5.9,-0.2,No,7.3,31.8,7.1,10.5,39.1,17.6,56.7,9.9,6.5,8.7,,,,,,,,,,,,,
38,2019,Chicago Bulls,Chicago Bulls: 2019,CHI,Daniel Gafford,Arkansas,6,378,7489,31.1,0.199,1.9,7.4,Yes,76.7,77.9,98.5,92.6,154.6,191.1,345.7,80.6,97.2,90.4,,,,,,,,,,,,,
39,2019,New Orleans Pelicans,New Orleans Pelicans: 2019,NOP,Alen Smailagic,,2,29,223,0.3,0.056,-3.3,-0.1,No,22,37.7,38.7,31.1,59.7,69.8,129.5,44.6,29.5,29.6,,,,,,,,,,,,,
40,2019,Sacramento Kings,Sacramento Kings: 2019,SAC,Justin James,Wyoming,2,72,542,0.3,0.024,-3.1,-0.2,Yes,22,31.8,21.3,32.9,53.8,54.2,108,23.4,22.7,23.7,,,,,,,,,,,,,
41,2019,Golden State Warriors,Golden State Warriors: 2019,GSW,Eric Paschall,Villanova,3,158,3086,5,0.078,-2.2,-0.1,Yes,45,37.7,55.7,45.6,82.7,101.3,184,56.8,57.3,55.4,,,,,,,,,,,,,
42,2019,Philadelphia 76ers,Philadelphia 76ers: 2019,PHI,Admiral Schofield,Tennessee,4,131,1372,1.2,0.043,-4.6,-0.9,Yes,31.6,13.7,31.2,19.2,45.3,50.4,95.7,15.7,20.8,19.7,,,,,,,,,,,,,
43,2019,Minnesota Timberwolves,Minnesota Timberwolves: 2019,MIN,Jaylen Nowell,Washington,6,205,3519,4.7,0.064,-2.1,-0.1,Yes,44.2,37.7,44.7,46.4,81.9,91.1,173,56.5,52.4,53.3,,,,,,,,,,,,,
44,2019,Miami Heat,Miami Heat: 2019,MIA,Bol Bol,Oregon,6,202,2750,5,0.088,-0.4,1.1,Yes,45,60.3,64.6,71.5,105.3,136.1,241.4,62.4,74.5,67,,,,,,,,,,,,,
45,2019,Detroit Pistons,Detroit Pistons: 2019,DET,Isaiah Roby,Nebraska,4,151,2858,4,0.068,-2.3,-0.2,Yes,42.5,31.8,47.2,44.4,74.3,91.6,165.9,54.3,52.6,51.9,,,,,,,,,,,,,
46,2019,Orlando Magic,Orlando Magic: 2019,ORL,Talen Horton-Tucker,Iowa State,6,305,5942,6,0.049,-2,0,Yes,46.8,44.6,34.8,48.2,91.4,83,174.4,58.9,35.1,53.7,,,,,,,,,,,,,
47,2019,Sacramento Kings,Sacramento Kings: 2019,SAC,Ignas Brazdeikis,Michigan,3,64,838,0.4,0.024,-4.9,-0.6,Yes,23.7,18.9,21.3,16.7,42.6,38,80.6,12.5,15.4,15.8,,,,,,,,,,,,,
48,2019,Los Angeles Clippers,Los Angeles Clippers: 2019,LAC,Terance Mann,Florida State,6,412,9101,21.5,0.113,-0.8,2.8,Yes,67.9,66.6,79.5,66.4,134.5,145.9,280.4,72.6,78.5,75.7,,,,,,,,,,,,,
49,2019,San Antonio Spurs,San Antonio Spurs: 2019,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,0.2,0.03,-5.5,-0.2,Yes,19.6,31.8,24.2,12.9,51.4,37.1,88.5,21.2,15,17.8,,,,,,,,,,,,,
50,2019,Indiana Pacers,Indiana Pacers: 2019,IND,Jarrell Brantley,College of Charleston,3,41,273,0.6,0.108,0,0.1,Yes,26.8,51.7,77.3,76.5,78.5,153.8,232.3,55.5,81.8,65,,,,,,,,,,,,,
51,2019,Boston Celtics,Boston Celtics: 2019,BOS,Tremont Waters,LSU,3,40,407,0.1,0.012,-3,-0.1,Yes,16.7,37.7,17.4,33.8,54.4,51.2,105.6,24.4,21.2,23,,,,,,,,,,,,,
52,2019,Charlotte Hornets,Charlotte Hornets: 2019,CHO,Jalen McDaniels,San Diego State,6,252,4550,5.3,0.056,-3.3,-1.5,Yes,45.7,8.2,38.7,31.1,53.9,69.8,123.7,24,29.5,27.8,,,,,,,,,,,,,
53,2019,Utah Jazz,Utah Jazz: 2019,UTA,Justin Wright-Foreman,Hofstra,1,4,45,0,-0.008,-9,-0.1,Yes,11,37.7,11.9,3.7,48.7,15.6,64.3,18.6,5.8,11,,,,,,,,,,,,,
54,2019,Philadelphia 76ers,Philadelphia 76ers: 2019,PHI,Marial Shayok,Iowa State,1,4,28,-0.1,-0.13,-13,-0.1,Yes,7.3,37.7,2.1,1.6,45,3.7,48.7,14.4,1.4,5.9,,,,,,,,,,,,,
55,2019,New York Knicks,New York Knicks: 2019,NYK,Kyle Guy,Virginia,3,53,431,0.1,0.006,-4.9,-0.3,Yes,16.7,27.4,15.7,16.7,44.1,32.4,76.5,13.8,13.1,14.8,,,,,,,,,,,,,
56,2019,Los Angeles Clippers,Los Angeles Clippers: 2019,LAC,Jaylen Hands,UCLA,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
57,2019,New Orleans Pelicans,New Orleans Pelicans: 2019,NOP,Jordan Bone,Tennessee,2,24,249,0.1,0.01,-5.9,-0.2,Yes,16.7,31.8,16.9,10.5,48.5,27.4,75.9,17.9,11,14.7,,,,,,,,,,,,,
58,2019,Golden State Warriors,Golden State Warriors: 2019,GSW,Miye Oni,Yale,3,80,672,1,0.07,-2.5,-0.1,Yes,29.9,37.7,49.5,41.2,67.6,90.7,158.3,50.9,52,50.5,,,,,,,,,,,,,
59,2019,Toronto Raptors,Toronto Raptors: 2019,TOR,Dewan Hernandez,Miami (FL),1,6,28,0,0.043,-9.6,-0.1,Yes,11,37.7,31.2,3.2,48.7,34.4,83.1,18.6,13.8,16.5,,,,,,,,,,,,,
60,2019,Sacramento Kings,Sacramento Kings: 2019,SAC,Vanja Marinkovic,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
